edition,year,venue,round,team 1,team 2,score,score_halftime
1992-SWEDEN,1990,København,QUALIFYING,Denmark (Danmark),Faroe Islands (Føroyar),4-1,2-1
1992-SWEDEN,1991,Porto,QUALIFYING,Portugal,Finland (Suomi),1-0,1-0
1992-SWEDEN,1991,Bern,QUALIFYING,Switzerland (Schweiz / Suisse),Scotland,2-2,2-0
1992-SWEDEN,1991,Bratislava,QUALIFYING,Czechoslovakia (Československo),France,1-2,1-0
1992-SWEDEN,1991,Helsinki,QUALIFYING,Finland (Suomi),Netherlands (Nederland),1-1,0-0
1992-SWEDEN,1991,Cardiff,QUALIFYING,Wales (Cymru),Germany (Deutschland),1-0,0-0
1992-SWEDEN,1991,Odense,QUALIFYING,Denmark (Danmark),Austria (Österreich),2-1,2-0
1992-SWEDEN,1991,Oslo,QUALIFYING,Norway (Norge),Italy (Italia),2-1,2-0
1992-SWEDEN,1991,St. Gallen,QUALIFYING,Switzerland (Schweiz / Suisse),San Marino,7-0,3-0
1992-SWEDEN,1990,Košice,QUALIFYING,Czechoslovakia (Československo),Iceland (Ísland),1-0,1-0
1992-SWEDEN,1991,Oslo,QUALIFYING,Norway (Norge),Soviet Union (СССР),0-1,0-0
1992-SWEDEN,1991,Paris,QUALIFYING,France,Albania (Shqipëri),5-0,4-0
1992-SWEDEN,1990,Praha,QUALIFYING,Czechoslovakia (Československo),Spain (España),3-2,1-1
1992-SWEDEN,1990,Athína,QUALIFYING,Greece (Ελλάδα),Malta,4-0,2-0
1992-SWEDEN,1990,Roma,QUALIFYING,Italy (Italia),Soviet Union (СССР),0-0,0-0
1992-SWEDEN,1992,Stockholm,FS_GROUP_STAGE,Sweden (Sverige),England,2-1,0-1
1992-SWEDEN,1992,Malmö,FS_GROUP_STAGE,France,Denmark (Danmark),1-2,0-1
1992-SWEDEN,1992,Göteborg,FS_GROUP_STAGE,Netherlands (Nederland),Germany (Deutschland),3-1,2-0
1992-SWEDEN,1992,Norrköping,FS_GROUP_STAGE,Scotland,CIS (СНГ),3-0,2-0
1992-SWEDEN,1992,Stockholm,FS_1/2_FINAL,Sweden (Sverige),Germany (Deutschland),2-3,0-1
1992-SWEDEN,1992,Göteborg,FS_1/2_FINAL,Netherlands (Nederland),Denmark (Danmark),2-2,1-2
1992-SWEDEN,1992,Göteborg,FS_FINAL,Denmark (Danmark),Germany (Deutschland),2-0,1-0
1992-SWEDEN,1992,Göteborg,FS_GROUP_STAGE,Netherlands (Nederland),CIS (СНГ),0-0,0-0
1992-SWEDEN,1992,Norrköping,FS_GROUP_STAGE,Scotland,Germany (Deutschland),0-2,0-1
1992-SWEDEN,1992,Stockholm,FS_GROUP_STAGE,Sweden (Sverige),Denmark (Danmark),1-0,0-0
1992-SWEDEN,1992,Malmö,FS_GROUP_STAGE,France,England,0-0,0-0
1992-SWEDEN,1992,Norrköping,FS_GROUP_STAGE,CIS (СНГ),Germany (Deutschland),1-1,0-0
1992-SWEDEN,1992,Göteborg,FS_GROUP_STAGE,Netherlands (Nederland),Scotland,1-0,0-0
1992-SWEDEN,1992,Malmö,FS_GROUP_STAGE,England,Denmark (Danmark),0-0,0-0
1992-SWEDEN,1992,Stockholm,FS_GROUP_STAGE,Sweden (Sverige),France,1-1,1-0
1992-SWEDEN,1991,Sofija,QUALIFYING,Bulgaria (България),Romania (România),1-1,0-1
1992-SWEDEN,1991,Bruxelles,QUALIFYING,Belgium (België),Germany (Deutschland),0-1,0-1
1992-SWEDEN,1991,Lisboa,QUALIFYING,Portugal,Greece (Ελλάδα),1-0,1-0
1992-SWEDEN,1991,Thessaloníkê,QUALIFYING,Greece (Ελλάδα),Netherlands (Nederland),0-2,0-1
1992-SWEDEN,1991,Leverkusen,QUALIFYING,Germany (Deutschland),Luxembourg (Lëtzebuerg),4-0,2-0
1992-SWEDEN,1991,Belfast,QUALIFYING,Northern Ireland (Ulster),Austria (Österreich),2-1,2-1
1992-SWEDEN,1990,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Germany (Deutschland),2-3,0-2
1992-SWEDEN,1991,Landskrona,QUALIFYING,Faroe Islands (Føroyar),Yugoslavia (Југославија),0-2,0-1
1992-SWEDEN,1991,Sofija,QUALIFYING,Bulgaria (България),San Marino,4-0,3-0
1992-SWEDEN,1991,Olomouc,QUALIFYING,Czechoslovakia (Československo),Albania (Shqipëri),2-1,2-0
1992-SWEDEN,1991,Moskva,QUALIFYING,Soviet Union (СССР),Italy (Italia),0-0,0-0
1992-SWEDEN,1990,Sofija,QUALIFYING,Bulgaria (България),Scotland,1-1,0-1
1992-SWEDEN,1991,Foggia,QUALIFYING,Italy (Italia),Cyprus (Κύπρος),2-0,1-0
1992-SWEDEN,1991,TaQali,QUALIFYING,Malta,Greece (Ελλάδα),1-1,1-0
1992-SWEDEN,1991,Bucureşti,QUALIFYING,Romania (România),Scotland,1-0,0-0
1992-SWEDEN,1990,Beograd,QUALIFYING,Yugoslavia (Југославија),Austria (Österreich),4-1,2-1
1992-SWEDEN,1990,Budapest,QUALIFYING,Hungary (Magyarország),Cyprus (Κύπρος),4-2,3-1
1992-SWEDEN,1990,London,QUALIFYING,England,Poland (Polska),2-0,1-0
1992-SWEDEN,1991,Dublin,QUALIFYING,Ireland (Éire),Poland (Polska),0-0,0-0
1992-SWEDEN,1991,Hannover,QUALIFYING,Germany (Deutschland),Belgium (België),1-0,1-0
1992-SWEDEN,1991,Belfast,QUALIFYING,Northern Ireland (Ulster),Faroe Islands (Føroyar),1-1,1-0
1992-SWEDEN,1991,Beograd,QUALIFYING,Yugoslavia (Југославија),Denmark (Danmark),1-2,0-1
1992-SWEDEN,1991,Salerno,QUALIFYING,Italy (Italia),Hungary (Magyarország),3-1,2-0
1992-SWEDEN,1991,Oslo,QUALIFYING,Norway (Norge),Cyprus (Κύπρος),3-0,0-0
1992-SWEDEN,1991,İzmir,QUALIFYING,Turkey (Türkiye),England,0-1,0-1
1992-SWEDEN,1991,Serravalle,QUALIFYING,San Marino,Scotland,0-2,0-0
1992-SWEDEN,1991,Tiranë,QUALIFYING,Albania (Shqipëri),Czechoslovakia (Československo),0-2,0-0
1992-SWEDEN,1991,Warszawa,QUALIFYING,Poland (Polska),Turkey (Türkiye),3-0,0-0
1992-SWEDEN,1991,Rotterdam,QUALIFYING,Netherlands (Nederland),Finland (Suomi),2-0,1-0
1992-SWEDEN,1991,Budapest,QUALIFYING,Hungary (Magyarország),Soviet Union (СССР),0-1,0-1
1992-SWEDEN,1991,Lemesós,QUALIFYING,Cyprus (Κύπρος),Hungary (Magyarország),0-2,0-2
1992-SWEDEN,1991,Neuchâtel,QUALIFYING,Switzerland (Schweiz / Suisse),Romania (România),0-0,0-0
1992-SWEDEN,1991,Sofija,QUALIFYING,Bulgaria (България),Switzerland (Schweiz / Suisse),2-3,2-0
1992-SWEDEN,1991,Paris,QUALIFYING,France,Iceland (Ísland),3-1,1-0
1992-SWEDEN,1991,Beograd,QUALIFYING,Yugoslavia (Југославија),Faroe Islands (Føroyar),7-0,2-0
1992-SWEDEN,1991,Serravalle,QUALIFYING,San Marino,Bulgaria (България),0-3,0-2
1992-SWEDEN,1990,Dublin,QUALIFYING,Ireland (Éire),Turkey (Türkiye),5-0,2-0
1992-SWEDEN,1990,Porto,QUALIFYING,Portugal,Netherlands (Nederland),1-0,0-0
1992-SWEDEN,1990,Cardiff,QUALIFYING,Wales (Cymru),Belgium (België),3-1,1-1
1992-SWEDEN,1990,Belfast,QUALIFYING,Northern Ireland (Ulster),Denmark (Danmark),1-1,0-1
1992-SWEDEN,1990,Budapest,QUALIFYING,Hungary (Magyarország),Italy (Italia),1-1,1-0
1992-SWEDEN,1990,Glasgow,QUALIFYING,Scotland,Switzerland (Schweiz / Suisse),2-1,1-0
1992-SWEDEN,1991,Helsinki,QUALIFYING,Finland (Suomi),Malta,2-0,0-0
1992-SWEDEN,1990,Bucureşti,QUALIFYING,Romania (România),Bulgaria (България),0-3,0-1
1992-SWEDEN,1991,Bruxelles,QUALIFYING,Belgium (België),Luxembourg (Lëtzebuerg),3-0,3-0
1992-SWEDEN,1991,Rotterdam,QUALIFYING,Netherlands (Nederland),Malta,1-0,1-0
1992-SWEDEN,1991,Serravalle,QUALIFYING,San Marino,Romania (România),1-3,1-1
1992-SWEDEN,1991,Glasgow,QUALIFYING,Scotland,Bulgaria (България),1-1,0-0
1992-SWEDEN,1991,Beograd,QUALIFYING,Yugoslavia (Југославија),Northern Ireland (Ulster),4-1,1-1
1992-SWEDEN,1991,Bruxelles,QUALIFYING,Belgium (België),Wales (Cymru),1-1,0-0
1992-SWEDEN,1990,Paris,QUALIFYING,France,Czechoslovakia (Československo),2-1,0-0
1992-SWEDEN,1991,Poznań,QUALIFYING,Poland (Polska),England,1-1,1-0
1992-SWEDEN,1991,Sevilla,QUALIFYING,Spain (España),France,1-2,1-2
1992-SWEDEN,1991,Cardiff,QUALIFYING,Wales (Cymru),Luxembourg (Lëtzebuerg),1-0,0-0
1992-SWEDEN,1991,Wien,QUALIFYING,Austria (Österreich),Yugoslavia (Југославија),0-2,0-2
1992-SWEDEN,1991,London,QUALIFYING,England,Ireland (Éire),1-1,1-1
1992-SWEDEN,1991,Lárnax,QUALIFYING,Cyprus (Κύπρος),Soviet Union (СССР),0-3,0-1
1992-SWEDEN,1991,İstanbul,QUALIFYING,Turkey (Türkiye),Ireland (Éire),1-3,1-1
1992-SWEDEN,1991,Genova,QUALIFYING,Italy (Italia),Norway (Norge),1-1,0-0
1992-SWEDEN,1991,Bucureşti,QUALIFYING,Romania (România),Switzerland (Schweiz / Suisse),1-0,0-0
1992-SWEDEN,1991,Glasgow,QUALIFYING,Scotland,San Marino,4-0,3-0
1992-SWEDEN,1991,Sevilla,QUALIFYING,Spain (España),Czechoslovakia (Československo),2-1,1-0
1992-SWEDEN,1991,Athína,QUALIFYING,Greece (Ελλάδα),Finland (Suomi),2-0,0-0
1992-SWEDEN,1991,Szombathely,QUALIFYING,Hungary (Magyarország),Norway (Norge),0-0,0-0
1992-SWEDEN,1991,London,QUALIFYING,England,Turkey (Türkiye),1-0,1-0
1992-SWEDEN,1991,Poznań,QUALIFYING,Poland (Polska),Ireland (Éire),3-3,0-1
1992-SWEDEN,1991,Odense,QUALIFYING,Denmark (Danmark),Northern Ireland (Ulster),2-1,2-0
1992-SWEDEN,1991,Rotterdam,QUALIFYING,Netherlands (Nederland),Portugal,1-0,1-0
1992-SWEDEN,1991,Nürnberg,QUALIFYING,Germany (Deutschland),Wales (Cymru),4-1,3-0
1996-ENGLAND,1994,København,QUALIFYING,Denmark (Danmark),Belgium (België),3-1,1-1
1996-ENGLAND,1994,Rotterdam,QUALIFYING,Netherlands (Nederland),Czech Republic (Česká Republika),0-0,0-0
1996-ENGLAND,1994,Minsk,QUALIFYING,Belarus (Беларусь),Norway (Norge),0-4,0-2
1996-ENGLAND,1994,Maribor,QUALIFYING,Slovenia (Slovenija),Lithuania (Lietuva),1-2,0-0
1996-ENGLAND,1994,Belfast,QUALIFYING,Northern Ireland (Ulster),Portugal,1-2,0-1
1996-ENGLAND,1994,Tbilisi,QUALIFYING,Georgia (საქართველო),Moldova,0-1,0-1
1996-ENGLAND,1994,Cardiff,QUALIFYING,Wales (Cymru),Albania (Shqipëri),2-0,1-0
1996-ENGLAND,1996,London,FS_GROUP_STAGE,England,Switzerland (Schweiz / Suisse),1-1,1-0
1996-ENGLAND,1994,Helsinki,QUALIFYING,Finland (Suomi),Scotland,0-2,0-1
1996-ENGLAND,1994,Belfast,QUALIFYING,Northern Ireland (Ulster),Ireland (Éire),0-4,0-3
1996-ENGLAND,1994,Saint-Étienne,QUALIFYING,France,Romania (România),0-0,0-0
1996-ENGLAND,1994,Erevan,QUALIFYING,Armenia (Հայաստան),Cyprus (Κύπρος),0-0,0-0
1996-ENGLAND,1994,Tallinn,QUALIFYING,Estonia (Eesti),Italy (Italia),0-2,0-1
1996-ENGLAND,1994,Zagreb,QUALIFYING,Croatia (Hrvatska),Lithuania (Lietuva),2-0,0-0
1996-ENGLAND,1994,Rīga,QUALIFYING,Latvia (Latvija),Portugal,1-3,0-1
1996-ENGLAND,1994,Tel Avīv,QUALIFYING,Israel (ישראל),Slovakia (Slovensko),2-2,2-2
1996-ENGLAND,1994,Toftír,QUALIFYING,Faroe Islands (Føroyar),Greece (Ελλάδα),1-5,0-2
1996-ENGLAND,1995,Vilnius,QUALIFYING,Lithuania (Lietuva),Italy (Italia),0-1,0-1
1996-ENGLAND,1994,Tiranë,QUALIFYING,Albania (Shqipëri),Germany (Deutschland),1-2,1-1
1996-ENGLAND,1994,Tbilisi,QUALIFYING,Georgia (საქართველო),Wales (Cymru),5-0,2-0
1996-ENGLAND,1994,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Netherlands (Nederland),0-4,0-1
1996-ENGLAND,1994,Oslo,QUALIFYING,Norway (Norge),Belarus (Беларусь),1-0,0-0
1996-ENGLAND,1994,Rīga,QUALIFYING,Latvia (Latvija),Ireland (Éire),0-3,0-2
1996-ENGLAND,1994,Eschen,QUALIFYING,Liechtenstein,Austria (Österreich),0-4,0-3
1996-ENGLAND,1994,Chişinău,QUALIFYING,Moldova,Wales (Cymru),3-2,2-1
1996-ENGLAND,1994,Sofija,QUALIFYING,Bulgaria (България),Georgia (საქართველო),2-0,0-0
1996-ENGLAND,1994,Dublin,QUALIFYING,Ireland (Éire),Liechtenstein,4-0,3-0
1996-ENGLAND,1994,Chişinău,QUALIFYING,Moldova,Germany (Deutschland),0-3,0-2
1996-ENGLAND,1994,Tiranë,QUALIFYING,Albania (Shqipëri),Georgia (საქართველო),0-1,0-1
1996-ENGLAND,1994,TaQali,QUALIFYING,Malta,Norway (Norge),0-1,0-1
1996-ENGLAND,1994,Rotterdam,QUALIFYING,Netherlands (Nederland),Luxembourg (Lëtzebuerg),5-0,3-0
1996-ENGLAND,1994,İstanbul,QUALIFYING,Turkey (Türkiye),Switzerland (Schweiz / Suisse),1-2,1-2
1996-ENGLAND,1994,Tel Avīv,QUALIFYING,Israel (ישראל),Romania (România),1-1,0-0
1996-ENGLAND,1994,Trabzon,QUALIFYING,Azerbaijan (Azərbaycan),France,0-2,0-1
1996-ENGLAND,1994,Athína,QUALIFYING,Greece (Ελλάδα),San Marino,2-0,1-0
1996-ENGLAND,1994,Glasgow,QUALIFYING,Scotland,Russia (Россия),1-1,1-1
1996-ENGLAND,1994,Helsinki,QUALIFYING,Finland (Suomi),Faroe Islands (Føroyar),5-0,1-0
1996-ENGLAND,1994,Sofija,QUALIFYING,Bulgaria (България),Moldova,4-1,1-0
1996-ENGLAND,1994,Mielec,QUALIFYING,Poland (Polska),Azerbaijan (Azərbaycan),1-0,1-0
1996-ENGLAND,1995,Minsk,QUALIFYING,Belarus (Беларусь),Malta,1-1,0-0
1996-ENGLAND,1995,Oslo,QUALIFYING,Norway (Norge),Luxembourg (Lëtzebuerg),5-0,3-0
1996-ENGLAND,1995,Porto,QUALIFYING,Portugal,Latvia (Latvija),3-2,3-0
1996-ENGLAND,1995,Zabrze,QUALIFYING,Poland (Polska),Slovakia (Slovensko),5-0,1-0
1996-ENGLAND,1994,Sevilla,QUALIFYING,Spain (España),Denmark (Danmark),3-0,1-0
1996-ENGLAND,1994,Lemesós,QUALIFYING,Cyprus (Κύπρος),Armenia (Հայաստան),2-0,1-0
1996-ENGLAND,1994,Bern,QUALIFYING,Switzerland (Schweiz / Suisse),Sweden (Sverige),4-2,1-1
1996-ENGLAND,1994,İstanbul,QUALIFYING,Turkey (Türkiye),Iceland (Ísland),5-0,3-0
1996-ENGLAND,1994,Skopje,QUALIFYING,Macedonia (Македонија),Spain (España),0-2,0-2
1996-ENGLAND,1994,Minsk,QUALIFYING,Belarus (Беларусь),Luxembourg (Lëtzebuerg),2-0,0-0
1996-ENGLAND,1994,Kyïv,QUALIFYING,Ukraine (Україна),Slovenia (Slovenija),0-0,0-0
1996-ENGLAND,1994,Trabzon,QUALIFYING,Azerbaijan (Azərbaycan),Israel (ישראל),0-2,0-1
1996-ENGLAND,1994,Eschen,QUALIFYING,Liechtenstein,Latvia (Latvija),0-1,0-1
1996-ENGLAND,1994,Lisboa,QUALIFYING,Portugal,Austria (Österreich),1-0,1-0
1996-ENGLAND,1994,Kyïv,QUALIFYING,Ukraine (Україна),Estonia (Eesti),3-0,2-0
1996-ENGLAND,1994,Bucureşti,QUALIFYING,Romania (România),Slovakia (Slovensko),3-2,1-0
1996-ENGLAND,1994,Moskva,QUALIFYING,Russia (Россия),San Marino,4-0,1-0
1996-ENGLAND,1994,Thessaloníkê,QUALIFYING,Greece (Ελλάδα),Finland (Suomi),4-0,1-0
1996-ENGLAND,1994,Glasgow,QUALIFYING,Scotland,Faroe Islands (Føroyar),5-1,3-0
1996-ENGLAND,1995,Eschen,QUALIFYING,Liechtenstein,Ireland (Éire),0-0,0-0
1996-ENGLAND,1995,Praha,QUALIFYING,Czech Republic (Česká Republika),Netherlands (Nederland),3-1,0-1
1996-ENGLAND,1995,Stockholm,QUALIFYING,Sweden (Sverige),Iceland (Ísland),1-1,1-1
1996-ENGLAND,1995,Erevan,QUALIFYING,Armenia (Հայաստան),Macedonia (Македонија),2-2,1-0
1996-ENGLAND,1995,Salzburg,QUALIFYING,Austria (Österreich),Liechtenstein,7-0,3-0
1996-ENGLAND,1994,Bruxelles,QUALIFYING,Belgium (België),Macedonia (Македонија),1-1,1-0
1996-ENGLAND,1994,Palermo,QUALIFYING,Italy (Italia),Croatia (Hrvatska),1-2,0-1
1996-ENGLAND,1994,Stockholm,QUALIFYING,Sweden (Sverige),Hungary (Magyarország),2-0,1-0
1996-ENGLAND,1994,Zabrze,QUALIFYING,Poland (Polska),France,0-0,0-0
1996-ENGLAND,1994,Wien,QUALIFYING,Austria (Österreich),Northern Ireland (Ulster),1-2,1-2
1996-ENGLAND,1994,Oslo,QUALIFYING,Norway (Norge),Netherlands (Nederland),1-1,0-1
1996-ENGLAND,1994,TaQali,QUALIFYING,Malta,Czech Republic (Česká Republika),0-0,0-0
1996-ENGLAND,1995,Dublin,QUALIFYING,Ireland (Éire),Portugal,1-0,1-0
1996-ENGLAND,1995,Rīga,QUALIFYING,Latvia (Latvija),Northern Ireland (Ulster),0-1,0-0
1996-ENGLAND,1995,Tbilisi,QUALIFYING,Georgia (საქართველო),Albania (Shqipëri),2-0,2-0
1996-ENGLAND,1995,Düsseldorf,QUALIFYING,Germany (Deutschland),Wales (Cymru),1-1,1-1
1996-ENGLAND,1995,Chişinău,QUALIFYING,Moldova,Bulgaria (България),0-3,0-1
1996-ENGLAND,1995,Serravalle,QUALIFYING,San Marino,Scotland,0-2,0-1
1996-ENGLAND,1995,Toftír,QUALIFYING,Faroe Islands (Føroyar),Finland (Suomi),0-4,0-1
1996-ENGLAND,1995,Thessaloníkê,QUALIFYING,Greece (Ελλάδα),Russia (Россия),0-3,0-1
1996-ENGLAND,1995,Moskva,QUALIFYING,Russia (Россия),Faroe Islands (Føroyar),3-0,0-0
1996-ENGLAND,1995,Toftír,QUALIFYING,Faroe Islands (Føroyar),San Marino,3-0,2-0
1996-ENGLAND,1994,Lausanne,QUALIFYING,Switzerland (Schweiz / Suisse),Iceland (Ísland),1-0,1-0
1996-ENGLAND,1996,Leeds,FS_GROUP_STAGE,Spain (España),Bulgaria (България),1-1,0-0
1996-ENGLAND,1995,Rotterdam,QUALIFYING,Netherlands (Nederland),Malta,4-0,1-0
1996-ENGLAND,1995,Tallinn,QUALIFYING,Estonia (Eesti),Slovenia (Slovenija),1-3,1-1
1996-ENGLAND,1995,Reykjavík,QUALIFYING,Iceland (Ísland),Hungary (Magyarország),2-1,0-1
1996-ENGLAND,1995,Toftír,QUALIFYING,Faroe Islands (Føroyar),Scotland,0-2,0-2
1996-ENGLAND,1995,Serravalle,QUALIFYING,San Marino,Russia (Россия),0-7,0-2
1996-ENGLAND,1995,Cardiff,QUALIFYING,Wales (Cymru),Georgia (საქართველო),0-1,0-0
1996-ENGLAND,1995,Chişinău,QUALIFYING,Moldova,Albania (Shqipëri),2-3,2-2
1996-ENGLAND,1995,Sofija,QUALIFYING,Bulgaria (България),Germany (Deutschland),3-2,0-2
1996-ENGLAND,1995,Belfast,QUALIFYING,Northern Ireland (Ulster),Latvia (Latvija),1-2,1-0
1996-ENGLAND,1995,Oslo,QUALIFYING,Norway (Norge),Malta,2-0,1-0
1996-ENGLAND,1995,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Czech Republic (Česká Republika),1-0,0-0
1996-ENGLAND,1995,Minsk,QUALIFYING,Belarus (Беларусь),Netherlands (Nederland),1-0,1-0
1996-ENGLAND,1995,Vilnius,QUALIFYING,Lithuania (Lietuva),Slovenia (Slovenija),2-1,0-0
1996-ENGLAND,1995,Sevilla,QUALIFYING,Spain (España),Armenia (Հայաստան),1-0,0-0
1996-ENGLAND,1994,Tallinn,QUALIFYING,Estonia (Eesti),Croatia (Hrvatska),0-2,0-1
1996-ENGLAND,1994,Tel Avīv,QUALIFYING,Israel (ישראל),Poland (Polska),2-1,1-0
1996-ENGLAND,1994,Belfast,QUALIFYING,Northern Ireland (Ulster),Liechtenstein,4-1,3-0
1996-ENGLAND,1995,Skopje,QUALIFYING,Macedonia (Македонија),Belgium (België),0-5,0-4
1996-ENGLAND,1995,København,QUALIFYING,Denmark (Danmark),Cyprus (Κύπρος),4-0,1-0
1996-ENGLAND,1995,Bucureşti,QUALIFYING,Romania (România),Israel (ישראל),2-1,1-0
1996-ENGLAND,1995,Lemesós,QUALIFYING,Cyprus (Κύπρος),Macedonia (Македонија),1-1,0-1
1996-ENGLAND,1995,København,QUALIFYING,Denmark (Danmark),Spain (España),1-1,0-1
1996-ENGLAND,1995,Reykjavík,QUALIFYING,Iceland (Ísland),Turkey (Türkiye),0-0,0-0
1996-ENGLAND,1995,Zürich,QUALIFYING,Switzerland (Schweiz / Suisse),Hungary (Magyarország),3-0,1-0
1996-ENGLAND,1995,Vilnius,QUALIFYING,Lithuania (Lietuva),Estonia (Eesti),5-0,4-0
1996-ENGLAND,1995,Ljubljana,QUALIFYING,Slovenia (Slovenija),Ukraine (Україна),3-2,0-2
1996-ENGLAND,1995,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Belarus (Беларусь),0-0,0-0
1996-ENGLAND,1995,TaQali,QUALIFYING,Malta,Netherlands (Nederland),0-4,0-0
1996-ENGLAND,1995,Kyïv,QUALIFYING,Ukraine (Україна),Croatia (Hrvatska),1-0,1-0
1996-ENGLAND,1995,Wien,QUALIFYING,Austria (Österreich),Portugal,1-1,1-0
1996-ENGLAND,1995,Dublin,QUALIFYING,Ireland (Éire),Austria (Österreich),1-3,0-0
1996-ENGLAND,1994,Bratislava,QUALIFYING,Slovakia (Slovensko),France,0-0,0-0
1996-ENGLAND,1995,Kyïv,QUALIFYING,Ukraine (Україна),Italy (Italia),0-2,0-2
1996-ENGLAND,1995,Maribor,QUALIFYING,Slovenia (Slovenija),Estonia (Eesti),3-0,1-0
1996-ENGLAND,1995,Vilnius,QUALIFYING,Lithuania (Lietuva),Croatia (Hrvatska),0-0,0-0
1996-ENGLAND,1995,Budapest,QUALIFYING,Hungary (Magyarország),Switzerland (Schweiz / Suisse),2-2,0-0
1996-ENGLAND,1995,İstanbul,QUALIFYING,Turkey (Türkiye),Sweden (Sverige),2-1,0-1
1996-ENGLAND,1995,Sevilla,QUALIFYING,Spain (España),Belgium (België),1-1,1-1
1996-ENGLAND,1995,Lemesós,QUALIFYING,Cyprus (Κύπρος),Denmark (Danmark),1-1,1-1
1996-ENGLAND,1995,Tel Avīv,QUALIFYING,Israel (ישראל),France,0-0,0-0
1996-ENGLAND,1995,Košice,QUALIFYING,Slovakia (Slovensko),Azerbaijan (Azərbaycan),4-1,3-0
1996-ENGLAND,1995,Salerno,QUALIFYING,Italy (Italia),Estonia (Eesti),4-1,1-0
1996-ENGLAND,1995,Zagreb,QUALIFYING,Croatia (Hrvatska),Ukraine (Україна),4-0,2-0
1996-ENGLAND,1995,TaQali,QUALIFYING,Malta,Luxembourg (Lëtzebuerg),0-1,0-0
1996-ENGLAND,1994,Athína,QUALIFYING,Greece (Ελλάδα),Scotland,1-0,1-0
1996-ENGLAND,1994,Kaiserslautern,QUALIFYING,Germany (Deutschland),Albania (Shqipëri),2-1,2-0
1996-ENGLAND,1994,Lisboa,QUALIFYING,Portugal,Liechtenstein,8-0,3-0
1996-ENGLAND,1994,Skopje,QUALIFYING,Macedonia (Македонија),Cyprus (Κύπρος),3-0,2-0
1996-ENGLAND,1994,Bruxelles,QUALIFYING,Belgium (België),Spain (España),1-4,1-1
1996-ENGLAND,1994,Helsinki,QUALIFYING,Finland (Suomi),San Marino,4-1,2-1
1996-ENGLAND,1994,Cardiff,QUALIFYING,Wales (Cymru),Bulgaria (България),0-3,0-2
1996-ENGLAND,1994,Kyïv,QUALIFYING,Ukraine (Україна),Lithuania (Lietuva),0-2,0-0
1996-ENGLAND,1994,Maribor,QUALIFYING,Slovenia (Slovenija),Italy (Italia),1-1,1-1
1996-ENGLAND,1994,Budapest,QUALIFYING,Hungary (Magyarország),Turkey (Türkiye),2-2,2-0
1996-ENGLAND,1994,Reykjavík,QUALIFYING,Iceland (Ísland),Sweden (Sverige),0-1,0-1
1996-ENGLAND,1994,Skopje,QUALIFYING,Macedonia (Македонија),Denmark (Danmark),1-1,1-0
1996-ENGLAND,1994,Lemesós,QUALIFYING,Cyprus (Κύπρος),Spain (España),1-2,1-2
1996-ENGLAND,1994,Bruxelles,QUALIFYING,Belgium (België),Armenia (Հայաստան),2-0,1-0
1996-ENGLAND,1994,Bucureşti,QUALIFYING,Romania (România),Azerbaijan (Azərbaycan),3-0,1-0
1996-ENGLAND,1994,Ostrava,QUALIFYING,Czech Republic (Česká Republika),Malta,6-1,3-0
1996-ENGLAND,1995,Helsinki,QUALIFYING,Finland (Suomi),Greece (Ελλάδα),2-1,1-1
1996-ENGLAND,1995,Dublin,QUALIFYING,Ireland (Éire),Latvia (Latvija),2-1,0-0
1996-ENGLAND,1995,Tbilisi,QUALIFYING,Georgia (საქართველო),Bulgaria (България),2-1,1-0
1996-ENGLAND,1995,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Malta,1-0,1-0
1996-ENGLAND,1995,Wien,QUALIFYING,Austria (Österreich),Ireland (Éire),3-1,1-0
1996-ENGLAND,1995,Rīga,QUALIFYING,Latvia (Latvija),Liechtenstein,1-0,0-0
1996-ENGLAND,1995,Tiranë,QUALIFYING,Albania (Shqipëri),Bulgaria (България),1-1,1-1
1996-ENGLAND,1995,Nürnberg,QUALIFYING,Germany (Deutschland),Georgia (საქართველო),4-1,1-1
1996-ENGLAND,1995,Cardiff,QUALIFYING,Wales (Cymru),Moldova,1-0,0-0
1996-ENGLAND,1995,Serravalle,QUALIFYING,San Marino,Greece (Ελλάδα),0-4,0-2
1996-ENGLAND,1995,Toftír,QUALIFYING,Faroe Islands (Føroyar),Russia (Россия),2-5,1-1
1996-ENGLAND,1995,Glasgow,QUALIFYING,Scotland,Finland (Suomi),1-0,1-0
1996-ENGLAND,1996,London,FS_FINAL,Germany (Deutschland),Czech Republic (Česká Republika),2-1,0-0
1996-ENGLAND,1996,London,FS_1/2_FINAL,England,Germany (Deutschland),1-1,1-1
1996-ENGLAND,1996,Manchester,FS_1/2_FINAL,France,Czech Republic (Česká Republika),0-0,0-0
1996-ENGLAND,1996,Birmingham,FS_1/4_FINAL,Portugal,Czech Republic (Česká Republika),0-1,0-0
1996-ENGLAND,1996,Manchester,FS_1/4_FINAL,Germany (Deutschland),Croatia (Hrvatska),2-1,1-0
1996-ENGLAND,1996,Liverpool,FS_1/4_FINAL,France,Netherlands (Nederland),0-0,0-0
